Postalcode,X-Coordinates,Y-Coordinates
739063,21863.3661,45818.4674
739062,21749.0554,45839.9461
609647,17243.9705,35398.4663
649410,16114.5930,36571.7507
158901,26022.2171,29780.1081
159561,26933.2813,30164.4591
389706,33636.3772,33325.4301
389705,33473.8198,33325.6056
529176,40886.9427,37702.2192
828848,36794.1487,42042.1682
828866,36722.8224,42094.4224
677744,20708.0073,40870.2050
679938,21355.9657,40450.2753
518969,42399.9751,39030.7918
737942,24807.3255,46865.6395
579806,29795.6102,36425.0979
579807,29917.6934,36312.6593
519421,41536.9732,39594.1037
427072,35758.8373,32681.8236
159544,26465.0256,29725.1580
278790,22534.5022,33222.4214
659250,19067.2795,37204.2818
534786,35020.0628,39284.0955
536451,34717.9667,38752.5265
649370,16148.7931,37139.2351
327829,30705.2668,33779.3659
828819,36912.5247,42380.7999
534238,33324.8488,40002.2154
534256,33477.0592,39958.0253
649371,15592.8322,37161.0914
768857,29215.4178,45412.9267
269734,24794.2410,34152.7393
737902,23021.6352,45780.4591
737888,23246.8971,45633.4724
768515,27675.3272,45482.9478
569228,30057.9887,39322.4454
528906,39785.7293,36666.4461
528933,39157.5625,37267.7627
649809,14660.9720,36950.8625
609476,16832.8477,36756.4272
618652,15845.0552,34706.7220
648368,13023.2359,35764.5549
648348,13396.5338,35271.7688
609790,16380.2395,37044.3966
649037,11809.0041,35680.4454
649038,11739.2670,35595.0173
659762,19445.4282,36407.3312
127368,20384.4722,31508.7734
319580,29539.0956,35500.8163
399772,34108.8315,32601.9336
689189,18434.1544,41718.0171
689333,17749.5093,41334.6115
569341,28756.0620,38923.0296
579795,30400.8432,36913.7920
618310,15171.8889,35616.6032
659243,19191.1980,37370.8497
519419,41636.2100,39214.9007
519073,41758.1067,38735.8040
387724,33375.4593,34085.7864
379499,34173.7788,34390.4872
408931,35590.9737,34514.1982
408940,35612.3793,34410.6340
368051,32956.1427,35950.1757
738927,21365.1012,46236.8238
739110,21622.2166,46482.4189
319759,29101.0705,35818.0768
569878,29105.5559,39818.2753
569384,28235.9464,38929.2962
828867,36376.6570,41835.4725
518799,39537.6760,39813.7659
518798,39303.5458,39724.6886
599986,22395.9095,35014.1998
599986,22395.9095,35014.1998
658965,17792.0291,36937.1557
538786,34230.9111,39536.1152
538785,34188.7133,39551.2436
545079,34339.7593,41179.5937
545080,34410.8360,41553.0341
129956,20793.1070,32268.1090
128806,19963.6906,33497.7939
288683,24561.4161,34754.6755
556111,31692.5780,36932.9914
268097,25154.4872,33678.1374
288913,24749.4870,34722.5672
769028,28609.7464,44230.5806
768689,27747.5834,44573.2145
148812,24303.3274,31333.3311
139657,21346.3538,32418.5708
449149,37411.0195,32002.4518
529283,41736.1101,37396.7895
545088,35777.2006,40999.8399
768960,29655.0564,45473.7926
768680,29284.7724,45451.1821
544974,34971.4043,40531.0861
545081,35330.5266,40344.0975
768692,29329.4324,44759.4327
769026,28846.8655,44749.1497
768578,28755.1907,46389.1900
