ALL_SCHOOLS,ADDRESS,POSTALCODE,X_COORDINATES,Y_COORDINATES,LATITUDE,LONGTITUDE
DA QIAO PRIMARY SCHOOL,8 ANG MO KIO STREET 54,569185,30857.3197,39313.4794,1.371969,103.85865
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT,479226,37718.7819,35389.0278,1.335847,103.921064
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,38435.9529,35456.4196,1.336405,103.927061
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,18523.0002,37903.5212,1.359,103.7485279
DE LA SALLE SCHOOL,11 CHOA CHU KANG ST 52,689285,17998.1097,41885.6713,1.394304,103.743605
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42,569277,30139.9937,38670.6686,1.365893,103.852329
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2,659204,18195.1,38415.2921,1.363886,103.74518
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD,436895,33555.8268,31351.889,1.29836,103.882979
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45,529093,41676.0871,38068.295,1.360673,103.956206
EAST COAST PRIMARY SCHOOL,8 CHAI CHEE LANE,469031,37640.244,34637.2132,1.329372,103.919612
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258,42284.2733,37198.8183,1.35349,103.961799
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34,529231,42169.2756,37590.3667,1.3559969,103.960586
EAST VIEW PRIMARY SCHOOL,4 TAMPINES STREET 91,528907,39833.5183,36558.4674,1.346782,103.939586
EAST VIEW SECONDARY SCHOOL,3 TAMPINES STREET 42,529177,40939.3656,37815.5113,1.357878,103.949913
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,828869,36286.355,42416.606,1.399887,103.907469
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD,828814,35659.0312,42450.3406,1.399882,103.902302
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866,40468.5861,39669.9746,1.374697,103.945633
ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK,757521,26231.559,48420.9503,1.454201,103.817423
EUNOS PRIMARY SCHOOL,95 JALAN EUNOS,419529,35907.8441,34069.7661,1.324223,103.904727
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,23689.1374,47312.3951,1.444082,103.795038
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83,738489,23599.0225,46988.4334,1.441283,103.794011
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD,139648,22699.6137,31461.2787,1.3007439,103.785809
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD,139649,22549.1834,31576.1391,1.301925,103.78446
FAJAR SECONDARY SCHOOL,31 GANGSA ROAD,678972,20287.6356,39730.2477,1.375887,103.764493
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567,29956.9436,32755.5662,1.312139,103.850992
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680,38969.4734,34726.3102,1.329819,103.9319019
FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE,797701,32538.5493,41322.4156,1.389948,103.873919
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252,30471.8818,35831.6345,1.340145,103.855651
FIRST TOA PAYOH SECONDARY SCHOOL,580 TOA PAYOH EAST,319133,30816.7547,34993.2464,1.3331869,103.85864
FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61,648200,13127.7417,35425.1264,14.4847751,121.0232414
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,21863.3661,45818.4674,1.4302,103.778088
FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1,739062,21749.0554,45839.9461,1.430948,103.777326
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,17243.9705,35398.4663,1.336524,103.736118
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41,649410,16114.593,36571.7507,1.346902,103.726756
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901,26022.2171,29780.1081,1.285631,103.815421
GAN ENG SENG SCHOOL,1 HENDERSON ROAD,159561,26933.2813,30164.4591,1.289088,103.823727
GEYLANG METHODIST SCHOOL (PRIMARY),4 GEYLANG EAST CENTRAL,389706,33636.3772,33325.4301,1.3182069,103.88336
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,33473.8198,33325.6056,1.318124,103.8829
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,40886.9427,37702.2192,1.357339,103.948893
GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS,828848,36794.1487,42042.1682,1.396421,103.912588
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,828866,36722.8224,42094.4224,1.396986,103.9117179
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,20708.0073,40870.205,1.385851,103.767546
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD,679938,21355.9657,40450.2753,1.38206,103.773836
