osm_id,name,type
47415661,National Cancer Centre Singapore,
47415663,Blk 4,
47415664,Blk 5,
47415665,Blk 2,
47415666,Blk 3,
47415667,Blk 1 (A&E),
47415668,Blk 7,
47415669,Blk 6,
47415735,Spore Eye Centre,
47415736,National Heart Centre,
47415737,,
47415813,Dept of Forensic Medicine,
47415814,Alimni Medical Centre,
47415815,Dept of Pathology,
47418824,Costa Sands Resort (Sentosa),chalet
47418825,Image of Singapore,
47418827,Mövenpick Hotel,hotel
47418834,Rasa Sentosa Resort,hotel
47418840,HarbourFront Tower 2,
47418841,,
47418846,Keppel Bay Tower,
47418847,Harbourfront Tower 2,
47418849,Merrill Lynch Harbourfront,
48031501,Ibis Hotel,hotel
48031573,Bugis+,
48035153,Millenia Tower,
48035415,La Salle College of the Arts,school
48045887,Sri Krishnan Temple,place_of_worship
48045888,Waterloo View,
48045891,Blk 270,
48045892,Blk 269C,
48045893,Blk 269C,
48045894,Skyline Building,
48045895,,
48045896,Kwan Im Thong Hood Cho Temple,place_of_worship
48045897,Blk 269A,
48126412,KH Kea Building,
48126413,Odeon Towers,
48126586,NTUC Trade Union House,
48126587,NTUC Income Centre,
48126895,Bayview Hotel,hotel
48126896,Manulife,commercial
48178719,High Street Centre,
48231377,Mitsubishi Electrics,
48231378,Vantage Automotive Centre,
48231379,Sime Darby Performance Centre,
48231380,Mercedes-Benz Centre,
48231383,Audi Singapore Ptd Ltd,
48231384,Borneo Motors,
48231385,Wearnes Automotive Pte Ltd,
48231387,Lea Hin Co Pte Ltd,
48231388,Sime Darby Business Centre,
48231389,Wearnes Automotive,
48231390,SM Motors,
48231391,Komoco Motors,
48231392,Kah Motors,
48231393,SIS Building,
48231394,The Alexcier,
48231397,Cycle & Carriage,
48231398,Borneo Motors,
48231399,Volkswagen Centre,
48231401,Thye Hong Centre,
48288476,Caterpillar,
48288477,Caterpillar,
48288479,Aggreko,
48288481,PCU Limited,
48288485,South Grand Textile,
48581160,Sun Plaza,
48953897,Canberra Community Club,community_centre
49890750,The Float @ Marina Bay,stands
49890775,F1 Pit Building,attraction
49967705,North Spine,university
49967706,South Spine,university
49967805,Nanyang Business School (S3),university
49967806,S. Rajaratnam School of International Studies (S,university
